Date,Open,High,Low,Close,Adj Close,Volume
04-11-2014,20090.95703,20358.88281,19945.09961,20254.20313,20254.20313,959447318
05-11-2014,20265.9082,21089.72266,20265.9082,20851.23047,20851.23047,1217172424
06-11-2014,20849.51172,21703.87891,20786.00195,21477.8418,21477.8418,1155827530
07-11-2014,21510.30859,21700.07227,21020.93359,21060.23438,21060.23438,1035387471
08-11-2014,21044.18164,21344.20313,21044.18164,21249.24023,21249.24023,524974082
09-11-2014,21242.35156,22364.81836,21173.4043,22342.55273,22342.55273,1488765428
10-11-2014,22281.10938,23071.79883,21945.30664,22554.81836,22554.81836,1871767647
11-11-2014,22489.22852,22862.48438,22382.43164,22615.08203,22615.08203,974171544
12-11-2014,22632.91602,26367.49609,22632.91602,25989.70313,25989.70313,2809257152
13-11-2014,26217.47266,28131.78711,24705.16406,25913.06836,25913.06836,3630422550
14-11-2014,25770.30273,25821.73242,23751.10156,24547.35938,24547.35938,1825801586
15-11-2014,24660.40234,25023.10547,22893.04883,23209.28711,23209.28711,970465387
16-11-2014,23122.71484,24114.25391,23114.81641,23934.25781,23934.25781,734635048
17-11-2014,23963.07422,25301.07422,23337.17383,23949.5625,23949.5625,2566692216
18-11-2014,23972.86914,24221.01367,22897.91992,23155.34375,23155.34375,1988611588
19-11-2014,23074.99219,23902.88281,23074.99219,23567.77148,23567.77148,1172446374
20-11-2014,23552.41211,23658.80859,22091.88086,22157.45313,22157.45313,1562439744
21-11-2014,22159.86719,22159.86719,21283.32813,21669.25,21669.25,1843616801
22-11-2014,21715.94141,22533.49219,21671.10156,21797.22266,21797.22266,943298663
23-11-2014,21812.9707,22904.31445,21812.9707,22702.22656,22702.22656,935800695
24-11-2014,22663.625,23948.87695,22650.97852,23311.32617,23311.32617,1913026685
25-11-2014,23310.39844,24435.9375,23195.38086,23215.27344,23215.27344,1573600070
26-11-2014,23256.77539,23349.29102,22600.11328,22757.89844,22757.89844,1149213026
27-11-2014,22889.61523,23131.40625,22776.40039,22862.24219,22862.24219,541021915
28-11-2014,22843.93555,23810.60938,22243.02734,23413.12109,23413.12109,1427157568
29-11-2014,23394.77344,24106.8457,23145.55664,23353.66211,23353.66211,956285442
30-11-2014,23354.8457,23791.26758,23217.95313,23512.63281,23512.63281,571848196
01-12-2014,23525.19531,23836.91992,23372.3125,23492.33203,23492.33203,728659035
02-12-2014,23492.64063,23766.19141,23425.61719,23561.45313,23561.45313,763977739
03-12-2014,23586.60156,23720.80078,23171.08203,23193.61914,23193.61914,825058505
04-12-2014,23237.40625,23433.06445,22718.3125,22832.28711,22832.28711,897566040
05-12-2014,22822.2793,23473.12109,22594.57813,23328.39258,23328.39258,939798965
06-12-2014,23322.38867,23427.06641,22962.60938,23200.31641,23200.31641,433897936
07-12-2014,23203.47266,23293.60352,23106.8418,23219.50586,23219.50586,401852610
08-12-2014,23211.45898,23277.32227,22369.98242,22371.4043,22371.4043,1168223141
09-12-2014,22370.53906,22442.98633,21352.4668,21791.78906,21791.78906,2036481985
10-12-2014,21790.92188,21777.33203,21474.62891,21474.62891,21474.62891,1018517400
11-12-2014,21349.08008,22472.79102,21003.30664,21896.11133,21896.11133,2025983311
12-12-2014,21916.53711,22066.73242,21784.40625,22039.16211,22039.16211,1062117347
13-12-2014,22029.09961,22029.09961,21666.94922,21716.21094,21716.21094,729918888
14-12-2014,21675.63867,22087.55078,21593.80664,21982.27344,21982.27344,776136228
15-12-2014,21965.33203,21993.71484,21787.75586,21813.7168,21813.7168,1090493193
16-12-2014,21834.43555,21719.94531,20815.86133,20815.86133,20815.86133,1964396561
17-12-2014,20802.6875,21186.04297,20016.87891,20310.57227,20310.57227,2386125168
18-12-2014,20311.14453,20560.37891,19230.50391,19611.7207,19611.7207,2467115540
19-12-2014,19598.05273,20144.02539,19338.71875,20100.39063,20100.39063,1506572844
20-12-2014,20086.22461,20889.75391,19986.62305,20866.41797,20866.41797,1318977708
21-12-2014,20840.29883,20845.73828,20167.42578,20290.11133,20290.11133,961728624
22-12-2014,20304.33984,21095.3125,20235.63867,20980.17188,20980.17188,1410649047
23-12-2014,20988.45508,21330.68359,20835.78906,21221.90234,21221.90234,1051301506
24-12-2014,21210.04102,21232.62109,20410.99023,20485.74609,20485.74609,958587434
25-12-2014,20469.99609,20494.38672,20131.58789,20261.79297,20261.79297,627759395
26-12-2014,20270.93945,21064.48242,20110.56445,20842.03125,20842.03125,1043010354
27-12-2014,20820.35742,20904.76172,19869.98242,20075.46289,20075.46289,965133349
28-12-2014,20094.33984,20340.17969,19771.33984,20162.91797,20162.91797,742135504
29-12-2014,20192.28125,20355.36914,19883.02539,19906.13672,19906.13672,783238663
30-12-2014,19909.25391,20067.5,19601.87305,19694.51172,19694.51172,794043654
31-12-2014,19705.72852,20181.76367,19552.59961,20181.76367,20181.76367,878820987
01-01-2015,20197.01758,20197.01758,19892.08984,19907.67383,19907.67383,509115443
02-01-2015,19896.90625,19983.13281,19864.34375,19932.07617,19932.07617,497343325
03-01-2015,19920.30664,19939.54102,17784.05859,17784.05859,17784.05859,2091351888
