Date,Open,High,Low,Close,Adj Close,Volume
23-12-2020,594.087341,617.94928,564.958862,588.655334,588.655334,64860
24-12-2020,588.686462,613.328125,551.784607,611.787476,611.787476,53526
25-12-2020,611.759033,626.397217,600.420532,626.13623,626.13623,45601
26-12-2020,626.150024,642.746277,610.427185,627.472473,627.472473,10297
27-12-2020,627.465454,707.751221,617.719788,682.467163,682.467163,90078
28-12-2020,682.473694,742.24762,681.350159,727.073669,727.073669,2304
29-12-2020,727.077698,733.033936,684.054016,720.873047,720.873047,116889
30-12-2020,720.84552,730.253967,692.698547,720.616577,720.616577,95180
31-12-2020,720.598022,748.780457,703.287476,731.029663,731.029663,81185
01-01-2021,731.028381,742.005615,712.741211,722.167175,722.167175,5093
02-01-2021,722.183105,775.413513,710.509033,763.078125,763.078125,33974
03-01-2021,763.155396,977.108093,759.688171,952.199768,952.199768,35084
04-01-2021,952.166809,1131.822021,915.194702,991.251221,991.251221,289731
05-01-2021,991.234375,1122.012329,931.332825,1103.26123,1103.26123,425083
06-01-2021,1103.696655,1181.434937,1063.988037,1181.434937,1181.434937,37248
07-01-2021,1181.355591,1269.735352,1135.375854,1214.637329,1214.637329,32000
08-01-2021,1215.411499,1334.820068,1078.89978,1228.185181,1228.185181,57019
09-01-2021,1228.187256,1301.057861,1158.051758,1247.873413,1247.873413,17155
10-01-2021,1247.931641,1343.877808,1210.178223,1281.677002,1281.677002,27993
11-01-2021,1281.691284,1283.800293,934.25946,1095.703125,1095.703125,41918
12-01-2021,1095.786987,1133.730469,1000.981873,1034.853027,1034.853027,22283
13-01-2021,1034.779175,1148.287842,797.671997,1138.370605,1138.370605,56553
14-01-2021,1138.386597,1229.111938,1121.487061,1211.478882,1211.478882,68022
15-01-2021,1211.729492,1238.027222,1091.786987,1170.951904,1170.951904,295924
16-01-2021,1170.866699,1286.346069,1156.919189,1224.339478,1224.339478,83899
17-01-2021,1223.403442,1247.243408,1159.2323,1197.762329,1197.762329,15937
18-01-2021,1198.09314,1226.785522,1165.227905,1226.341919,1226.341919,95182
19-01-2021,1224.853638,1415.546875,1222.378784,1358.80957,1358.80957,26024
20-01-2021,1354.383057,1379.204956,1228.925781,1342.860352,1342.860352,8876
21-01-2021,1342.215088,1342.215088,1092.508423,1118.633667,1118.633667,12499
22-01-2021,1115.111694,1311.234497,1040.855591,1222.07251,1222.07251,17611
23-01-2021,1222.151001,1267.663818,1197.516724,1230.167725,1230.167725,13234
24-01-2021,1230.349121,1343.751587,1226.185059,1341.546021,1341.546021,8732
25-01-2021,1341.330322,1483.993896,1308.195679,1330.399658,1330.399658,2899
26-01-2021,1330.366089,1381.410889,1251.651733,1351.959961,1351.959961,57576
27-01-2021,1354.597412,1365.593994,1215.301758,1253.264038,1253.264038,717095
28-01-2021,1253.187134,1356.335449,1226.17395,1333.482666,1333.482666,142652
29-01-2021,1369.278809,1426.264893,1292.479004,1363.721436,1363.721436,288
30-01-2021,1363.714355,1380.432983,1266.478027,1336.990112,1336.990112,2892
31-01-2021,1337.26416,1398.358032,1274.953003,1326.362915,1326.362915,19256
01-02-2021,1326.363892,1373.233154,1262.876709,1371.200562,1371.200562,303434
02-02-2021,1368.204468,1543.511719,1363.770386,1515.109497,1515.109497,1641086
03-02-2021,1516.787842,1657.398682,1510.873047,1657.398682,1657.398682,231308
04-02-2021,1657.637939,1685.834839,1558.856567,1594.272583,1594.272583,180439
05-02-2021,1594.185913,1759.033569,1594.185913,1719.55896,1719.55896,170494
06-02-2021,1720.281494,1738.867188,1636.273438,1677.891357,1677.891357,1176535
07-02-2021,1677.703979,1689.664307,1502.441528,1614.651245,1614.651245,131391
08-02-2021,1614.849121,1765.30835,1572.123535,1747.388184,1747.388184,229327
09-02-2021,1747.0896,1814.219116,1720.16272,1762.414185,1762.414185,668181
10-02-2021,1762.941162,1819.71814,1672.862549,1711.096558,1711.096558,503252
11-02-2021,1711.089478,1790.525146,1690.513794,1781.585693,1781.585693,393422
12-02-2021,1781.827515,1847.514282,1722.891846,1834.777588,1834.777588,1304647
13-02-2021,1834.315918,1855.601929,1763.125122,1812.814331,1812.814331,684740
14-02-2021,1812.673706,1844.338135,1789.699463,1806.043213,1806.043213,4674487
15-02-2021,1805.006836,1833.630859,1683.917114,1730.630493,1730.630493,366716
16-02-2021,1743.820923,1839.359009,1704.655518,1776.184814,1776.184814,698271
17-02-2021,1776.186279,1834.355713,1731.011108,1827.822876,1827.822876,515172
18-02-2021,1828.04248,1946.083618,1812.009521,1932.122559,1932.122559,324347
19-02-2021,1931.286743,1959.198364,1890.403198,1950.086182,1950.086182,3392486
20-02-2021,1950.087402,2030.55835,1826.482544,1913.767456,1913.767456,637944
21-02-2021,1913.938843,1959.896606,1885.109741,1925.008301,1925.008301,281135
22-02-2021,1924.503296,1925.11792,1564.337402,1766.501953,1766.501953,795418
23-02-2021,1767.202515,1767.202515,1364.944214,1552.861816,1552.861816,112079
24-02-2021,1553.317871,1692.829468,1501.160278,1607.367065,1607.367065,369209
25-02-2021,1608.065063,1652.6521,1452.043823,1462.032959,1462.032959,32905
26-02-2021,1461.651245,1538.551758,1401.781982,1443.366821,1443.366821,130387
27-02-2021,1443.333374,1505.584351,1397.042969,1423.687866,1423.687866,198672
28-02-2021,1423.755615,1429.569458,1277.688232,1386.970093,1386.970093,67312
01-03-2021,1387.005981,1533.613281,1378.066895,1531.631958,1531.631958,453657
02-03-2021,1531.515503,1562.607056,1426.744507,1454.947876,1454.947876,349034
03-03-2021,1455.0271,1617.01416,1447.288452,1536.892944,1536.892944,448938
04-03-2021,1536.626587,1567.62146,1455.7323,1490.319214,1490.319214,158451
05-03-2021,1490.386353,1496.286987,1401.019409,1487.038452,1487.038452,45785
06-03-2021,1487.090698,1610.749023,1468.730835,1598.33728,1598.33728,74771
07-03-2021,1596.550415,1642.361816,1577.611694,1635.332031,1635.332031,61410
08-03-2021,1635.359131,1782.575073,1570.141235,1782.575073,1782.575073,621172
09-03-2021,1782.197266,1828.802612,1760.755249,1828.224976,1828.224976,551131
10-03-2021,1829.876465,1838.544556,1704.831299,1749.098267,1749.098267,143179
11-03-2021,1749.3927,1786.591431,1681.277222,1769.477783,1769.477783,871558
12-03-2021,1769.723389,1782.079468,1673.268433,1733.945557,1733.945557,58177
13-03-2021,1733.235107,1898.302368,1696.013306,1886.450439,1886.450439,53408
14-03-2021,1886.491211,1889.597534,1794.923706,1809.267334,1809.267334,121878
15-03-2021,1808.404053,1838.598145,1670.633545,1738.927124,1738.927124,22265
16-03-2021,1738.89563,1765.106689,1669.553345,1765.106689,1765.106689,37157
17-03-2021,1764.80249,1805.459595,1682.332764,1780.359985,1780.359985,29241
18-03-2021,1780.710938,1804.040039,1670.137695,1735.641968,1735.641968,9109
19-03-2021,1735.87793,1791.65564,1696.387451,1766.260376,1766.260376,582
20-03-2021,1767.460449,1824.937744,1765.597534,1772.185791,1772.185791,24670
21-03-2021,1770.804565,1780.162964,1714.667358,1743.538452,1743.538452,163037
22-03-2021,1743.828857,1759.487305,1547.943604,1559.894409,1559.894409,23787
23-03-2021,1559.456055,1707.140991,1549.446655,1621.168091,1621.168091,469124
24-03-2021,1620.150757,1677.922729,1512.832397,1535.059326,1535.059326,240664
25-03-2021,1534.397705,1562.494385,1502.796631,1535.490967,1535.490967,24010
26-03-2021,1534.964844,1639.529907,1534.904907,1639.529907,1639.529907,92242
27-03-2021,1640.4646,1683.282715,1622.234863,1667.666382,1667.666382,315175
28-03-2021,1666.971436,1676.13855,1621.844238,1640.246094,1640.246094,996171
29-03-2021,1639.975098,1791.492676,1632.827148,1769.181641,1769.181641,116126
30-03-2021,1769.122925,1821.660156,1718.49646,1808.506592,1808.506592,14188
31-03-2021,1808.193115,1938.358398,1756.906616,1912.58667,1912.58667,915
01-04-2021,1907.922607,1956.480103,1880.68396,1945.072876,1945.072876,2260
02-04-2021,1946.232788,2071.85083,1909.855591,2047.541382,2047.541382,2230
03-04-2021,2052.754639,2107.023438,1981.054932,1998.596313,1998.596313,26527
04-04-2021,1992.694702,2086.174072,1973.981812,2070.57959,2070.57959,115381
05-04-2021,2070.602295,2131.36792,2012.973633,2099.632813,2099.632813,395033
06-04-2021,2102.241699,2145.542236,2052.251465,2106.240479,2106.240479,203177
07-04-2021,2105.561768,2116.786133,1923.387695,1949.764038,1949.764038,86371
08-04-2021,1945.651245,2069.173096,1933.809082,2066.17041,2066.17041,2457
09-04-2021,2066.326416,2094.603027,2045.640381,2064.5271,2064.5271,68709
10-04-2021,2063.617432,2192.07666,2055.615234,2131.213867,2131.213867,552651
11-04-2021,2131.506836,2153.708252,2098.719482,2115.704834,2115.704834,44954
12-04-2021,2115.401367,2188.949219,2050.237793,2164.144043,2164.144043,13151
13-04-2021,2127.112549,2251.727539,2115.225586,2207.606934,2207.606934,5453
14-04-2021,2211.653076,2381.987793,2206.128418,2367.091553,2367.091553,27553
15-04-2021,2367.124023,2510.816406,2366.958496,2491.379639,2491.379639,73420
16-04-2021,2490.788086,2522.079346,2348.958252,2417.515625,2417.515625,26034
17-04-2021,2415.050049,2487.219482,2310.243408,2337.681152,2337.681152,2495
18-04-2021,2335.573975,2353.383057,1986.990723,2210.599609,2210.599609,99991
19-04-2021,2212.233643,2251.416992,2066.959473,2133.568115,2133.568115,426
20-04-2021,2142.782227,2322.848145,2023.063354,2304.709717,2304.709717,37319
21-04-2021,2307.378906,2448.152344,2219.059326,2367.336426,2367.336426,39626
22-04-2021,2369.915527,2628.538818,2322.100098,2390.42334,2390.42334,71743
23-04-2021,2387.617432,2416.493652,2157.501953,2341.000732,2341.000732,74445
24-04-2021,2338.456299,2342.562744,2159.388672,2190.874512,2190.874512,30301
25-04-2021,2188.289063,2332.191406,2158.199219,2289.298584,2289.298584,294985
26-04-2021,2292.231201,2503.478271,2288.063965,2503.478271,2503.478271,355040
27-04-2021,2501.878174,2650.432373,2457.227539,2630.025146,2630.025146,93794
28-04-2021,2631.883057,2723.325928,2534.697998,2712.071045,2712.071045,106821
29-04-2021,2712.93042,2766.300781,2643.625488,2737.817871,2737.817871,281990
30-04-2021,2737.103027,2781.984863,2708.804199,2768.20166,2768.20166,263344
01-05-2021,2768.051514,2942.757568,2754.089844,2939.211914,2939.211914,74852
02-05-2021,2938.612061,3416.67627,2638.205811,2852.174561,2852.174561,30243
